SIRUTA,DENLOC,CODP,JUD,SIRSUP,TIP,NIV,MED,REGIUNE,FSJ,FSL
10,JUDEŢUL ALBA,0,1,1,40,1,0,7,1,0100000000000
1017,MUNICIPIUL ALBA IULIA,0,1,10,1,2,1,7,1,0110040000000
1026,ALBA IULIA,510005,1,1017,9,3,1,7,1,0110040100007
1035,BĂRĂBANŢ,510001,1,1017,10,3,1,7,1,0110040500032
1044,MICEŞTI,510002,1,1017,10,3,1,7,1,0110040500400
1053,OARDA,510003,1,1017,10,3,1,7,1,0110040500432
1062,PÂCLIŞA,510004,1,1017,10,3,1,7,1,0110040500457
1213,MUNICIPIUL AIUD,0,1,10,4,2,1,7,1,0120039000000
1222,AIUD,515200,1,1213,9,3,1,7,1,0120039100005
1231,AIUDUL DE SUS,515201,1,1213,10,3,1,7,1,0120039500006
1277,CIUMBRUD,515202,1,1213,11,3,1,7,1,0120039500139
1240,GÂMBAŞ,515203,1,1213,10,3,1,7,1,0120039500258
1286,GÂRBOVA DE JOS,515204,1,1213,11,3,1,7,1,0120039500260
1295,GÂRBOVA DE SUS,515205,1,1213,11,3,1,7,1,0120039500261
1302,GÂRBOVIŢA,515206,1,1213,11,3,1,7,1,0120039500262
1259,MĂGINA,515207,1,1213,10,3,1,7,1,0120039500378
1268,PĂGIDA,515208,1,1213,10,3,1,7,1,0120039500449
1311,SÂNCRAI,515209,1,1213,11,3,1,7,1,0120039500552
1320,ŢIFRA,515210,1,1213,11,3,1,7,1,0120039500636
1348,MUNICIPIUL BLAJ,0,1,10,4,2,1,7,1,0120041000000
1357,BLAJ,515400,1,1348,9,3,1,7,1,0120041100054
1366,DELENI-OBÂRŞIE,515401,1,1348,10,3,1,7,1,0120041500197
1375,FLITEŞTI,515402,1,1348,10,3,1,7,1,0120041500244
1384,IZVOARELE,515403,1,1348,10,3,1,7,1,0120041500327
1428,MĂNĂRADE,515404,1,1348,11,3,1,7,1,0120041500383
1393,PETRISAT,515405,1,1348,10,3,1,7,1,0120041500469
1437,SPĂTAC,515406,1,1348,11,3,1,7,1,0120041500573
1400,TIUR,515407,1,1348,10,3,1,7,1,0120041500617
1419,VEZA,515408,1,1348,10,3,1,7,1,0120041500700
1874,MUNICIPIUL SEBEŞ,0,1,10,4,2,1,7,1,0120042000000
1883,SEBEŞ,515800,1,1874,9,3,1,7,1,0120042100558
1892,LANCRĂM,515801,1,1874,10,3,1,7,1,0120042500337
1909,PETREŞTI,515850,1,1874,10,3,1,7,1,0120042500468
1918,RĂHĂU,515802,1,1874,11,3,1,7,1,0120042500521
1151,ORAŞ ABRUD,0,1,10,2,2,1,7,1,0130046000000
1160,ABRUD,515100,1,1151,17,3,1,7,1,0130046200001
1179,ABRUD-SAT,515101,1,1151,18,3,1,7,1,0130046600002
1188,GURA CORNEI,515102,1,1151,18,3,1,7,1,0130046600285
1197,SOHARU,515103,1,1151,18,3,1,7,1,0130046600569
2915,ORAŞ BAIA DE ARIEŞ,0,1,10,2,2,1,7,1,0130047000000
2924,BAIA DE ARIEŞ,515300,1,2915,17,3,1,7,1,0130047200022
2933,BRĂZEŞTI,515301,1,2915,19,3,1,7,1,0130047600079
2942,CIOARA DE SUS,515302,1,2915,19,3,1,7,1,0130047600128
2951,MUNCELU,515303,1,2915,19,3,1,7,1,0130047600414
2960,SARTĂŞ,515304,1,2915,19,3,1,7,1,0130047600542
2979,SIMULEŞTI,515305,1,2915,19,3,1,7,1,0130047600567
1455,ORAŞ CÂMPENI,0,1,10,2,2,1,7,1,0130048000000
1464,CÂMPENI,515500,1,1455,17,3,1,7,1,0130048200109
1473,BONCEŞTI,515501,1,1455,18,3,1,7,1,0130048600068
1482,BORLEŞTI,515502,1,1455,18,3,1,7,1,0130048600070
1491,BOTEŞTI,515503,1,1455,18,3,1,7,1,0130048600072
1507,CERTEGE,515504,1,1455,18,3,1,7,1,0130048600118
1516,COASTA VÂSCULUI,515505,1,1455,18,3,1,7,1,0130048600142
1525,DĂNDUŢ,515506,1,1455,18,3,1,7,1,0130048600176
1534,DEALU BISTRII,515507,1,1455,18,3,1,7,1,0130048600182
1543,DEALU CAPSEI,515508,1,1455,18,3,1,7,1,0130048600183
1552,DRIC,515509,1,1455,18,3,1,7,1,0130048600214
1561,FAŢA ABRUDULUI,515510,1,1455,18,3,1,7,1,0130048600228
1570,FLOREŞTI,515511,1,1455,18,3,1,7,1,0130048600245
1589,FURDUIEŞTI,515512,1,1455,18,3,1,7,1,0130048600250
1598,MIHOEŞTI,515513,1,1455,18,3,1,7,1,0130048600404
1605,MOTORĂŞTI,515514,1,1455,18,3,1,7,1,0130048600412
1614,PESTE VALEA BISTRII,515515,1,1455,18,3,1,7,1,0130048600464
1623,PODURI,515516,1,1455,18,3,1,7,1,0130048600484
1632,SORLIŢA,515517,1,1455,18,3,1,7,1,0130048600572
1641,TOMUŞEŞTI,515518,1,1455,18,3,1,7,1,0130048600622
1650,VALEA BISTRII,515519,1,1455,18,3,1,7,1,0130048600648
1669,VALEA CASELOR,515520,1,1455,18,3,1,7,1,0130048600650
1678,VÂRŞI,515521,1,1455,18,3,1,7,1,0130048600692
1696,ORAŞ CUGIR,0,1,10,2,2,1,7,1,0130049000000
1703,CUGIR,515600,1,1696,17,3,1,7,1,0130049200168
1712,BOCŞITURA,515601,1,1696,18,3,1,7,1,0130049600060
1721,BUCURU,515602,1,1696,18,3,1,7,1,0130049600085
1730,CĂLENE,515603,1,1696,18,3,1,7,1,0130049600099
1749,FEŢENI,515604,1,1696,18,3,1,7,1,0130049600242
1758,GOAŞELE,515605,1,1696,18,3,1,7,1,0130049600279
1767,MUGEŞTI,515606,1,1696,18,3,1,7,1,0130049600413
1776,VINEREA,515607,1,1696,18,3,1,7,1,0130049600705
1794,ORAŞ OCNA MUREŞ,0,1,10,2,2,1,7,1,0130050000000
1801,OCNA MUREŞ,515700,1,1794,17,3,1,7,1,0130050200434
1838,CISTEIU DE MUREŞ,515701,1,1794,19,3,1,7,1,0130050600132
